ms_of_day,price,date
45180000,4710.13,20240104
45240000,4710.18,20240104
45300000,4709.37,20240104
45360000,4709.45,20240104
45420000,4710.4,20240104
45480000,4710.33,20240104
45540000,4711.47,20240104
45600000,4711.36,20240104
45660000,4710.07,20240104
45720000,4711.15,20240104
45780000,4711.12,20240104
45840000,4709.29,20240104
45900000,4707.5,20240104
45960000,4704.35,20240104
46020000,4705.58,20240104
46080000,4706.01,20240104
46140000,4705.73,20240104
46200000,4707.02,20240104
46260000,4705.99,20240104
46320000,4706.34,20240104
46380000,4706.79,20240104
46440000,4708.35,20240104
46500000,4708.79,20240104
46560000,4706.58,20240104
46620000,4706.52,20240104
46680000,4706.9,20240104
46740000,4707.48,20240104
46800000,4708.6,20240104
46860000,4707.8,20240104
46920000,4708.76,20240104
46980000,4707.87,20240104
47040000,4707.87,20240104
47100000,4709.16,20240104
47160000,4708.65,20240104
47220000,4709.76,20240104
47280000,4709.3,20240104
47340000,4709.92,20240104
47400000,4709.95,20240104
47460000,4709.62,20240104
47520000,4708.73,20240104
47580000,4707.35,20240104
47640000,4709.03,20240104
47700000,4709.54,20240104
47760000,4708.66,20240104
47820000,4709.32,20240104
47880000,4710.14,20240104
47940000,4710.0,20240104
48000000,4708.72,20240104
48060000,4709.77,20240104
48120000,4709.9,20240104
48180000,4709.22,20240104
48240000,4710.33,20240104
48300000,4709.71,20240104
48360000,4710.3,20240104
48420000,4711.13,20240104
48480000,4711.13,20240104
48540000,4710.2,20240104
48600000,4710.28,20240104
48660000,4711.37,20240104
48720000,4710.72,20240104
48780000,4710.8,20240104
48840000,4710.7,20240104
48900000,4710.21,20240104
48960000,4710.36,20240104
49020000,4710.96,20240104
49080000,4709.41,20240104
49140000,4708.72,20240104
49200000,4709.57,20240104
49260000,4710.34,20240104
49320000,4709.22,20240104
49380000,4710.46,20240104
49440000,4710.62,20240104
49500000,4711.07,20240104
49560000,4711.03,20240104
49620000,4710.44,20240104
49680000,4710.53,20240104
49740000,4711.29,20240104
49800000,4710.96,20240104
49860000,4711.45,20240104
49920000,4709.33,20240104
49980000,4710.83,20240104
50040000,4710.26,20240104
50100000,4709.04,20240104
50160000,4708.83,20240104
50220000,4707.97,20240104
50280000,4709.58,20240104
50340000,4708.85,20240104
50400000,4708.29,20240104
50460000,4708.47,20240104
50520000,4710.08,20240104
50580000,4708.73,20240104
50640000,4707.29,20240104
50700000,4706.85,20240104
50760000,4706.96,20240104
50820000,4706.62,20240104
50880000,4707.69,20240104
50940000,4706.59,20240104
51000000,4705.94,20240104
51060000,4704.11,20240104
51120000,4705.09,20240104
51180000,4706.48,20240104
51240000,4707.17,20240104
51300000,4707.18,20240104
51360000,4708.32,20240104
51420000,4707.37,20240104
51480000,4707.12,20240104
51540000,4707.57,20240104
